0,0
3.506490707397461,0.0,0
3.587770700454712,10.995574287564276,0
3.646153450012207,25.656340004316647,0
3.7384138107299805,50.82398781807487,0
3.837237596511841,76.72467391767071,0
3.981044292449951,113.37658820955164,0
4.058205842971802,133.90166021300496,0
4.128459692001343,152.47196345422464,0
4.183261156082153,166.15534478986018,0
4.234185695648193,179.5943800302165,0
4.294222354888916,194.01079965168967,0
4.363527297973633,211.60371851179252,0
4.420239210128784,226.26448422854486,0
4.472864866256714,239.70351946890122,0
4.522455215454102,252.65386251869913,0
4.595231771469116,271.95720404575644,0
4.6176488399505615,277.5771642371782,0
11.027481079101562,301.52308157454036,90
11.054443120956421,302.7448120509364,90
